PT08.S1(CO),T,RH,log_AH,hour,month,CO
927.0,6.8,62.9,-0.4725669116489004,6.0,3.0,0.8
1091.0,6.4,65.1,-0.4594989966006499,7.0,3.0,1.4
1587.0,7.3,63.1,-0.4309367740818338,8.0,3.0,4.4
1350.0,13.2,41.7,-0.4588658848352796,10.0,3.0,3.1
1263.0,14.3,38.4,-0.4711242569144386,11.0,3.0,2.7
1206.0,15.0,36.5,-0.4788425779129398,12.0,3.0,2.1
1252.0,16.1,34.5,-0.4680854700898317,13.0,3.0,2.5
1287.0,16.3,35.7,-0.4215944900380479,14.0,3.0,2.7
1353.0,15.8,37.0,-0.4140014391304507,15.0,3.0,2.9
1309.0,15.9,37.2,-0.4069161603754792,16.0,3.0,2.8
1274.0,16.9,34.3,-0.4232727267581291,17.0,3.0,2.4
1510.0,15.1,39.6,-0.390675022635529,18.0,3.0,3.9
1525.0,14.4,43.4,-0.3447463730734585,19.0,3.0,3.7
1843.0,12.9,50.5,-0.2906197164391236,20.0,3.0,6.6
1598.0,12.1,53.3,-0.2828935557199837,21.0,3.0,4.4
1484.0,11.0,59.1,-0.2561834053924099,22.0,3.0,3.5
1677.0,9.7,64.6,-0.2521862367669405,23.0,3.0,5.4
1280.0,9.5,64.1,-0.2748316604729611,0.0,3.0,2.7
1196.0,9.1,63.9,-0.2980018048586358,1.0,3.0,1.9
1184.0,8.8,63.9,-0.3207563801812101,2.0,3.0,1.6
1172.0,7.8,67.5,-0.3322611158497482,3.0,3.0,1.7
978.0,8.3,63.6,-0.3592496843112013,5.0,3.0,1.0
1100.0,7.2,67.5,-0.3729495164314845,6.0,3.0,1.2
1112.0,6.3,71.9,-0.366436721140686,7.0,3.0,1.5
1336.0,6.5,71.6,-0.3645631167877385,8.0,3.0,2.7
1408.0,9.6,59.7,-0.3391157275666304,9.0,3.0,3.7
1447.0,12.4,51.2,-0.3099276813991006,10.0,3.0,3.2
1542.0,15.6,42.2,-0.2942368414224552,11.0,3.0,4.1
1451.0,18.4,33.8,-0.3438997524500096,12.0,3.0,3.6
1328.0,19.4,31.3,-0.363843433417345,13.0,3.0,2.8
1207.0,18.0,34.8,-0.338694704474312,14.0,3.0,2.0
1240.0,18.4,33.6,-0.3506928722611848,15.0,3.0,2.0
1306.0,17.6,35.1,-0.3549621259350575,16.0,3.0,2.5
1326.0,16.7,37.8,-0.3400988046769116,17.0,3.0,2.3
1473.0,16.1,41.0,-0.2942368414224552,18.0,3.0,3.2
1609.0,15.8,42.4,-0.2785241346670152,19.0,3.0,4.2
1611.0,15.7,44.1,-0.2502578438057817,20.0,3.0,4.2
1621.0,15.3,46.8,-0.211832760168343,21.0,3.0,4.2
1444.0,14.6,48.6,-0.2156715364755087,22.0,3.0,3.1
1418.0,14.7,49.3,-0.199304961834368,23.0,3.0,2.6
1534.0,13.9,53.6,-0.1627542513014258,0.0,3.0,2.9
1484.0,14.6,51.5,-0.1582925789945934,1.0,3.0,2.8
1367.0,12.5,58.9,-0.1581754349658763,2.0,3.0,2.5
1344.0,11.6,63.4,-0.1422550475808712,3.0,3.0,2.4
1062.0,11.5,63.1,-0.1586440934395979,5.0,3.0,1.2
1076.0,11.6,62.2,-0.1657004557777185,6.0,3.0,1.0
1028.0,10.4,67.6,-0.1589957314904579,7.0,3.0,0.9
1155.0,11.6,62.7,-0.1589957314904579,8.0,3.0,1.4
1235.0,12.4,60.0,-0.1476882728996039,9.0,3.0,1.6
1332.0,14.5,53.1,-0.1360488444632759,10.0,3.0,2.2
1445.0,16.9,46.1,-0.1290841534115375,11.0,3.0,2.8
1416.0,19.3,38.3,-0.1655824407896781,12.0,3.0,2.8
1281.0,21.2,31.4,-0.2469240799796132,13.0,3.0,2.0
1207.0,21.4,30.2,-0.2723337955049814,14.0,3.0,1.8
1258.0,21.9,29.0,-0.2843542823591063,15.0,3.0,1.9
1458.0,22.2,28.4,-0.2855510114428267,16.0,3.0,3.0
1438.0,21.3,30.8,-0.2618843796306404,17.0,3.0,2.9
1478.0,19.7,36.7,-0.1854865601371112,18.0,3.0,2.5
1808.0,18.4,41.7,-0.1355906543063482,19.0,3.0,4.6
1898.0,17.6,46.1,-0.0822952427268301,20.0,3.0,5.9
1560.0,16.7,49.6,-0.0704224642965458,21.0,3.0,3.4
1324.0,16.3,51.0,-0.0681717801033339,22.0,3.0,2.1
1349.0,14.7,55.9,-0.0710664484338602,23.0,3.0,2.2
1239.0,14.8,54.7,-0.0873023284027966,0.0,3.0,1.8
1239.0,14.0,57.0,-0.0949702375912268,1.0,3.0,1.8
1224.0,13.4,61.3,-0.066032970604438,2.0,3.0,1.8
1078.0,12.6,63.5,-0.0801260444792848,3.0,3.0,1.1
1075.0,11.9,67.4,-0.0645385211375711,5.0,3.0,1.0
1157.0,11.4,70.5,-0.0539283420255556,6.0,3.0,1.4
1314.0,11.3,70.2,-0.0617690263976318,7.0,3.0,2.2
1797.0,12.4,63.9,-0.0866478067256721,8.0,3.0,5.5
1961.0,14.8,54.3,-0.0969515260764504,9.0,3.0,8.1
1771.0,17.4,45.6,-0.1061385960616672,10.0,3.0,5.8
1564.0,19.8,38.5,-0.127719741602371,11.0,3.0,4.2
1430.0,22.0,34.1,-0.116084479020802,12.0,3.0,3.1
1417.0,23.3,32.2,-0.0947503365458108,13.0,3.0,2.9
1400.0,23.9,30.0,-0.1327317124539582,14.0,3.0,2.9
1317.0,24.4,28.9,-0.1351326739914964,15.0,3.0,2.5
1318.0,24.4,29.4,-0.1223936482140666,16.0,3.0,2.3
1445.0,23.8,31.3,-0.0902529889775622,17.0,3.0,2.8
1917.0,22.5,35.4,-0.0463581239781495,18.0,3.0,6.1
2040.0,20.4,42.5,0.0085632306604878,19.0,3.0,8.0
1895.0,18.3,52.6,0.0902976379807806,20.0,3.0,6.5
1595.0,16.7,57.4,0.0756639039209896,21.0,3.0,4.2
1439.0,15.7,60.2,0.0633503155007616,22.0,3.0,3.2
1142.0,15.3,61.4,0.0563803334361076,23.0,3.0,1.4
1304.0,14.1,65.7,0.0482185722704744,0.0,3.0,2.1
1074.0,14.8,60.6,0.0146915487429896,1.0,3.0,1.2
968.0,14.8,59.2,-0.0121738009317087,2.0,3.0,0.8
929.0,13.6,62.1,-0.0370790082414207,3.0,3.0,0.7
937.0,12.8,63.2,-0.0744003225762501,5.0,3.0,0.6
1017.0,11.2,68.5,-0.0964007742863543,6.0,3.0,0.9
1171.0,11.0,66.5,-0.1386875197738932,7.0,3.0,1.3
1541.0,11.7,63.7,-0.1370805405483676,8.0,3.0,3.4
1539.0,13.6,56.3,-0.1343317127952918,9.0,3.0,3.7
1735.0,17.8,42.9,-0.1424856482967553,10.0,3.0,5.3
1571.0,21.4,33.3,-0.1723316227646066,11.0,3.0,4.1
1452.0,24.4,27.4,-0.1946775790035387,12.0,3.0,3.3
1579.0,25.3,26.1,-0.1906763611767082,13.0,3.0,4.0
1466.0,25.8,23.2,-0.2758852625722699,14.0,3.0,3.8
1280.0,27.0,20.2,-0.3433357366426156,15.0,3.0,2.8
1407.0,28.2,18.6,-0.3546769412760593,16.0,3.0,2.9
1389.0,28.0,19.1,-0.342772038769741,17.0,3.0,2.9
1447.0,23.9,25.7,-0.2851519425981558,18.0,3.0,3.4
1551.0,21.3,34.8,-0.1358197231425348,19.0,3.0,3.9
1474.0,20.4,36.7,-0.1388024028804589,20.0,3.0,3.2
1800.0,19.0,41.3,-0.1045830401924399,21.0,3.0,5.1
1379.0,17.9,45.9,-0.0680647309141293,22.0,3.0,2.6
1201.0,16.7,48.9,-0.0805595078584169,23.0,3.0,1.7
1205.0,15.5,52.9,-0.0756938443692002,0.0,3.0,1.7
1072.0,15.5,51.9,-0.0988263543068949,1.0,3.0,1.2
998.0,14.1,55.6,-0.1154108515113277,2.0,3.0,0.9
933.0,13.1,57.9,-0.1431777696763279,3.0,3.0,0.7
869.0,11.8,58.0,-0.2198988211493207,5.0,3.0,0.5
891.0,11.9,57.4,-0.2258973395108308,6.0,3.0,0.5
1173.0,9.9,65.2,-0.2286587320023199,7.0,3.0,1.6
1587.0,11.1,60.2,-0.2284073809893088,8.0,3.0,4.1
1852.0,14.1,50.0,-0.2206466711156225,9.0,3.0,6.6
1522.0,17.7,40.1,-0.2171614796366623,10.0,3.0,4.3
1438.0,21.1,33.4,-0.1905553617210581,11.0,3.0,2.9
1393.0,24.3,28.3,-0.1659365275446318,12.0,3.0,2.5
1452.0,25.6,25.6,-0.1918871616636555,13.0,3.0,2.8
1389.0,25.9,25.9,-0.1621660505903903,14.0,3.0,2.6
1207.0,26.8,18.7,-0.4307829160924542,15.0,3.0,2.0
1365.0,29.3,15.8,-0.4606079076053732,16.0,3.0,2.9
1247.0,28.5,14.9,-0.5607163933794558,17.0,3.0,2.5
1557.0,25.9,16.0,-0.6468362776966949,18.0,3.0,5.0
1973.0,23.1,26.5,-0.3006997695330844,19.0,3.0,7.6
1975.0,20.5,38.2,-0.0906908652845037,20.0,3.0,6.7
1795.0,19.1,42.6,-0.0732160623312591,21.0,3.0,5.7
1444.0,17.2,44.1,-0.1557185749994205,22.0,3.0,2.8
1488.0,16.0,50.9,-0.082729647598996,23.0,3.0,2.6
1371.0,14.8,53.9,-0.1026973982383426,0.0,3.0,2.3
1161.0,14.3,55.4,-0.1081421586197031,1.0,3.0,1.4
1064.0,14.8,52.1,-0.1408725588814155,2.0,3.0,1.0
970.0,13.9,53.9,-0.1624012893588239,3.0,3.0,0.7
931.0,12.0,58.9,-0.1944346246777566,5.0,3.0,0.6
938.0,10.9,62.1,-0.2091173795811177,6.0,3.0,0.7
1166.0,10.6,63.3,-0.2148034270392084,7.0,3.0,1.5
1643.0,11.5,60.0,-0.208624465215007,8.0,3.0,4.7
1934.0,14.3,50.6,-0.2001597149238344,9.0,3.0,6.6
1617.0,17.8,40.5,-0.1972321695297089,10.0,3.0,4.5
1473.0,20.8,34.4,-0.1785287585552583,11.0,3.0,2.8
1379.0,23.8,28.2,-0.1961365458276827,12.0,3.0,2.2
1385.0,24.2,28.7,-0.160755778879394,13.0,3.0,2.2
1379.0,25.2,24.9,-0.2447503050682685,14.0,3.0,2.3
1322.0,27.0,17.8,-0.4660116079761981,15.0,3.0,2.2
1496.0,27.1,23.1,-0.20089294237939,16.0,3.0,2.8
1409.0,25.8,23.9,-0.2443671877658364,17.0,3.0,2.7
1513.0,23.0,26.8,-0.2949081175435205,18.0,3.0,3.7
1667.0,20.7,31.1,-0.2846200984159612,19.0,3.0,5.1
1667.0,18.6,36.2,-0.2644865148485922,20.0,3.0,5.1
1430.0,16.0,48.4,-0.1314763627883859,21.0,3.0,3.2
1333.0,14.5,57.8,-0.0559356323303033,22.0,3.0,2.1
1262.0,13.1,64.2,-0.040197189751413,23.0,3.0,1.7
1287.0,12.0,69.7,-0.0268574541698826,0.0,3.0,2.0
1134.0,11.9,71.1,-0.0085363310222863,1.0,3.0,1.6
999.0,12.5,69.3,0.0028958031120254,2.0,3.0,0.9
961.0,12.5,67.5,-0.0234733561856421,3.0,3.0,0.7
913.0,12.5,66.8,-0.0387408283164305,5.0,3.0,0.5
969.0,12.3,66.3,-0.0526626525833059,6.0,3.0,0.7
1182.0,12.4,64.9,-0.0691357388348621,7.0,3.0,1.5
1740.0,13.0,61.6,-0.0824038262548156,8.0,3.0,4.8
1819.0,13.6,58.8,-0.0921152889078056,9.0,3.0,6.2
1427.0,13.9,57.1,-0.1018112661466847,10.0,3.0,4.0
1390.0,14.5,54.4,-0.1146255258413032,11.0,3.0,3.3
1283.0,15.5,50.1,-0.1342173421198083,12.0,3.0,2.8
1304.0,16.1,47.6,-0.144447904365873,13.0,3.0,3.0
1364.0,16.3,47.1,-0.1461825101780814,14.0,3.0,3.3
1410.0,16.4,47.5,-0.1288566221250041,15.0,3.0,3.5
1476.0,16.1,50.2,-0.0949702375912268,16.0,3.0,4.0
1522.0,16.0,50.7,-0.089705913084493,17.0,3.0,4.6
1442.0,15.8,50.3,-0.1065834854027834,18.0,3.0,4.1
1469.0,15.5,50.6,-0.1232982163444936,19.0,3.0,4.5
1467.0,15.4,51.4,-0.1102613942575373,20.0,3.0,3.9
1421.0,15.2,53.1,-0.09244429039128,21.0,3.0,4.0
1175.0,14.7,57.6,-0.0436384570298294,22.0,3.0,2.2
1215.0,14.2,58.3,-0.0640053299759124,23.0,3.0,2.1
1127.0,13.8,57.9,-0.0959603911459112,0.0,3.0,1.7
1090.0,13.9,55.9,-0.1230719975899942,1.0,3.0,1.6
1017.0,13.9,55.6,-0.1318185746208479,2.0,3.0,1.3
997.0,13.8,55.1,-0.1431777696763279,3.0,3.0,1.3
956.0,13.6,55.1,-0.1554849028403949,5.0,3.0,0.8
966.0,13.6,59.0,-0.0911289334111019,6.0,3.0,0.8
1064.0,13.5,58.4,-0.1098148660072065,7.0,3.0,1.1
1300.0,13.8,58.0,-0.0961805584739691,8.0,3.0,2.1
1348.0,14.6,53.1,-0.1318185746208479,9.0,3.0,2.4
1425.0,15.0,52.3,-0.1186709297176786,10.0,3.0,2.6
1474.0,15.4,52.1,-0.1002624219383943,11.0,3.0,2.8
1490.0,16.3,50.0,-0.087957278759142,12.0,3.0,2.6
1495.0,17.1,47.9,-0.0746157933807898,13.0,3.0,2.6
1376.0,19.0,42.9,-0.0650719967437148,14.0,3.0,2.1
1305.0,19.5,42.3,-0.0538228066975066,15.0,3.0,1.7
1283.0,19.5,42.3,-0.0520304080943842,16.0,3.0,1.6
1392.0,19.1,43.8,-0.0454158635304825,17.0,3.0,2.1
1452.0,18.5,46.3,-0.0259333820265044,18.0,3.0,2.3
1633.0,17.4,51.6,0.0157749191153622,19.0,3.0,3.5
1625.0,17.1,51.3,-0.0086371933956635,20.0,3.0,3.9
1535.0,16.4,53.8,-0.0036064955941117,21.0,3.0,3.3
1323.0,16.2,55.4,0.0131136391453832,22.0,3.0,2.3
1309.0,15.9,57.7,0.0349809688952455,23.0,3.0,2.1
1456.0,15.7,58.6,0.0388360237851982,0.0,3.0,2.8
1300.0,15.1,60.9,0.0390283869674784,1.0,3.0,2.1
1203.0,15.6,56.6,-0.0049120443610206,2.0,3.0,1.6
1195.0,15.2,57.9,-0.0059174737640376,3.0,3.0,1.6
1062.0,14.9,60.6,0.0194103935198233,5.0,3.0,1.1
947.0,14.5,63.0,0.0311109950250527,6.0,3.0,0.7
1065.0,14.2,66.2,0.0610950993598108,7.0,3.0,0.8
1155.0,14.5,65.3,0.0680324103918269,8.0,3.0,1.2
1220.0,15.3,62.1,0.0704584636485613,9.0,3.0,1.4
1301.0,16.3,59.0,0.0832375985700556,10.0,3.0,1.7
1279.0,18.9,49.6,0.0676586484738148,11.0,3.0,1.8
1267.0,19.4,46.1,0.0245950468553801,12.0,3.0,1.8
1239.0,20.8,41.6,0.0090588444883461,13.0,3.0,1.9
1128.0,21.4,40.3,0.0125212805536716,14.0,3.0,1.3
1243.0,21.2,39.3,-0.0211214966221114,15.0,3.0,1.6
1208.0,20.3,38.0,-0.1118258151822568,16.0,3.0,1.9
1306.0,19.4,41.3,-0.082729647598996,17.0,3.0,2.3
1546.0,18.5,43.8,-0.0777453486248529,18.0,3.0,3.8
1501.0,17.8,48.1,-0.0315938715911786,19.0,3.0,3.5
1605.0,17.9,46.9,-0.0491902441907717,20.0,3.0,4.3
1316.0,17.4,49.1,-0.0316970867432545,21.0,3.0,2.8
1195.0,17.0,51.7,-0.0086371933956635,22.0,3.0,1.9
1211.0,16.4,55.1,0.0196065296389183,23.0,3.0,1.9
1161.0,16.1,60.0,0.0879192980378835,0.0,3.0,1.7
1095.0,15.8,60.5,0.0774238969648036,1.0,3.0,1.5
897.0,16.3,57.0,0.0479326537553027,2.0,3.0,0.6
842.0,16.9,53.9,0.0304322071202019,3.0,3.0,0.4
845.0,16.5,53.9,0.0048880340727758,5.0,3.0,0.3
942.0,16.4,54.0,-0.0021022080918701,6.0,3.0,0.6
1090.0,15.7,57.6,0.0193123110323728,7.0,3.0,1.2
1514.0,15.8,53.7,-0.0438473997802763,8.0,3.0,3.6
1379.0,17.4,42.1,-0.1886213589424827,9.0,3.0,3.7
1074.0,17.9,38.4,-0.2493591981326218,10.0,3.0,1.8
1090.0,18.5,36.7,-0.2530874276872819,11.0,3.0,1.6
1110.0,21.0,29.6,-0.3197921263700146,12.0,3.0,1.9
1102.0,21.3,28.1,-0.3471490312853284,13.0,3.0,2.0
1100.0,21.3,26.1,-0.4248008444149067,14.0,3.0,2.2
1094.0,21.3,26.8,-0.4033174160507053,15.0,3.0,2.1
1076.0,21.3,24.2,-0.5008752929128226,16.0,3.0,2.3
1152.0,20.2,28.5,-0.4031677490594809,17.0,3.0,2.6
1407.0,17.0,43.1,-0.1906763611767082,18.0,3.0,3.8
1438.0,15.6,47.4,-0.180682900125446,19.0,3.0,4.4
1425.0,15.3,47.4,-0.2011374710515951,20.0,3.0,4.5
1279.0,14.5,49.7,-0.2012597578142055,21.0,3.0,3.3
1132.0,13.9,52.0,-0.1946775790035387,22.0,3.0,2.0
1006.0,14.5,49.4,-0.2099805647879289,23.0,3.0,1.1
982.0,13.8,51.4,-0.2143077026518103,0.0,3.0,0.9
969.0,14.0,51.3,-0.2029733445248267,1.0,3.0,0.8
941.0,13.0,56.8,-0.1691289630079714,2.0,3.0,0.7
892.0,11.0,70.0,-0.081752501872259,3.0,3.0,0.5
834.0,8.8,80.5,-0.0891591363198183,5.0,3.0,0.3
909.0,9.6,75.4,-0.1049161699495598,6.0,3.0,0.5
1061.0,9.8,75.0,-0.0950802062502699,7.0,3.0,1.1
1441.0,10.0,74.2,-0.09244429039128,8.0,3.0,3.0
1498.0,11.2,69.7,-0.0799093832283019,9.0,3.0,3.8
1343.0,12.0,62.9,-0.1274925205152766,10.0,3.0,3.4
1308.0,12.8,55.8,-0.1972321695297089,11.0,3.0,3.0
1209.0,13.1,54.8,-0.1943131696463327,12.0,3.0,2.7
1310.0,13.8,53.4,-0.1802038008229533,13.0,3.0,3.5
1171.0,16.0,42.4,-0.264747101169285,14.0,3.0,2.8
1112.0,14.1,49.8,-0.2267751375482595,15.0,3.0,1.9
1132.0,12.0,61.1,-0.1581754349658763,16.0,3.0,2.0
1225.0,13.6,54.6,-0.166645077408947,17.0,3.0,3.0
1065.0,13.7,49.5,-0.2620143257032032,18.0,3.0,1.9
1236.0,11.7,57.1,-0.2456448166607233,19.0,3.0,2.7
1309.0,11.5,58.2,-0.2399082976469403,20.0,3.0,3.3
1089.0,12.6,54.2,-0.2381302936225331,21.0,3.0,1.7
1000.0,12.0,54.9,-0.2660510523254863,22.0,3.0,1.3
1041.0,11.0,61.4,-0.2160438141989868,23.0,3.0,1.3
1045.0,11.1,62.2,-0.198572897380005,0.0,3.0,1.2
997.0,10.8,62.5,-0.2129457263377637,1.0,3.0,1.1
948.0,11.3,60.0,-0.2200234239779661,2.0,3.0,0.9
878.0,10.6,61.6,-0.2413075219418809,3.0,3.0,0.6
892.0,10.9,58.6,-0.270759405255873,5.0,3.0,0.6
954.0,10.8,57.2,-0.3035404883862389,6.0,3.0,0.8
1045.0,10.4,59.2,-0.2937001447773438,7.0,3.0,1.2
1383.0,11.0,57.3,-0.2875487480065464,8.0,3.0,3.1
1597.0,11.2,56.9,-0.2790527457537265,9.0,3.0,4.4
1318.0,12.1,54.9,-0.2569588998089404,10.0,3.0,3.4
1138.0,15.1,44.3,-0.2830262609155869,11.0,3.0,1.7
1098.0,15.6,40.6,-0.3360323333928276,12.0,3.0,1.5
1118.0,16.9,34.6,-0.4159700927533119,13.0,3.0,1.7
1170.0,16.6,35.6,-0.4009254280661326,14.0,3.0,2.2
1390.0,9.6,81.1,-0.028399474521698,16.0,3.0,2.7
1353.0,11.7,69.1,-0.0516091337332302,17.0,3.0,2.8
1260.0,10.7,68.5,-0.1285154222354273,18.0,3.0,2.7
1501.0,10.7,67.3,-0.1458353482235446,19.0,3.0,4.5
1273.0,10.8,65.7,-0.1641673462139125,20.0,3.0,3.5
1179.0,10.3,66.3,-0.1820016079830345,21.0,3.0,2.6
1047.0,10.1,66.9,-0.1926143462793869,22.0,3.0,1.7
973.0,10.4,61.1,-0.2591594055185796,23.0,3.0,1.3
997.0,10.3,59.9,-0.2855510114428267,0.0,3.0,1.3
970.0,11.0,58.4,-0.2631846008513935,1.0,3.0,1.0
902.0,9.1,68.1,-0.2369889581362627,2.0,3.0,0.7
921.0,9.5,68.2,-0.211832760168343,3.0,3.0,0.7
858.0,9.3,72.3,-0.1629896284944626,4.0,3.0,0.5
878.0,9.9,66.8,-0.2043217970736219,5.0,3.0,0.5
893.0,7.6,83.2,-0.1398369451877992,6.0,3.0,0.6
1038.0,8.1,79.0,-0.1573558107762066,7.0,3.0,1.1
1320.0,8.7,74.6,-0.1709069519787006,8.0,3.0,2.7
1353.0,8.6,75.1,-0.1725692653512763,9.0,3.0,3.5
1133.0,9.7,69.7,-0.1756637691298881,10.0,3.0,2.3
1066.0,11.0,64.4,-0.168773744248686,11.0,3.0,1.6
1027.0,13.6,53.0,-0.1973539796279166,12.0,3.0,1.3
1106.0,14.2,48.4,-0.2510287548037454,13.0,3.0,2.0
1038.0,14.2,46.3,-0.2959830974911673,14.0,3.0,1.9
1084.0,16.0,41.3,-0.2927616181950796,15.0,3.0,1.9
1105.0,17.7,35.4,-0.3433357366426156,16.0,3.0,2.2
1102.0,17.1,37.4,-0.3250378589955497,17.0,3.0,2.0
1240.0,14.9,40.5,-0.3805286228181328,18.0,3.0,2.9
1443.0,13.4,47.8,-0.3156701089919497,19.0,3.0,5.2
1389.0,12.6,52.5,-0.2689257439693375,20.0,3.0,4.6
1183.0,12.2,53.2,-0.2803754972693428,21.0,3.0,2.5
1014.0,10.6,56.1,-0.3368723166425527,22.0,3.0,1.5
979.0,9.9,59.5,-0.3180038323381698,23.0,3.0,1.2
1048.0,9.6,61.1,-0.311565012915113,0.0,3.0,1.7
1024.0,9.7,61.6,-0.2977324083052823,1.0,3.0,1.4
974.0,9.4,62.6,-0.3013753995837834,2.0,3.0,1.2
862.0,8.2,68.5,-0.2937001447773438,3.0,3.0,0.6
925.0,8.0,69.4,-0.2931637360210194,4.0,3.0,0.7
952.0,7.7,72.4,-0.2672260638843987,5.0,3.0,0.8
1005.0,8.0,71.8,-0.2599372121432221,6.0,3.0,0.9
1122.0,8.5,66.3,-0.3044891907681621,7.0,3.0,1.6
1351.0,9.8,59.6,-0.3265615105126984,8.0,3.0,3.4
1408.0,11.2,57.0,-0.2818325476628893,9.0,3.0,3.8
1304.0,14.8,44.1,-0.3001595939628935,10.0,3.0,3.1
1207.0,16.8,35.3,-0.3961585487878646,11.0,3.0,2.7
1099.0,19.2,27.1,-0.5148336451635295,12.0,3.0,2.0
1106.0,19.1,26.2,-0.5549516818085458,13.0,3.0,2.3
1009.0,16.3,30.8,-0.5651058306790612,14.0,3.0,1.9
962.0,14.2,36.8,-0.5239108633146462,15.0,3.0,1.3
1093.0,13.4,41.0,-0.4633061077980143,16.0,3.0,1.9
1180.0,14.2,43.3,-0.3592496843112013,17.0,3.0,2.3
1168.0,12.1,45.6,-0.4458184624573806,18.0,3.0,2.4
1168.0,10.4,48.0,-0.5031881966367794,19.0,3.0,2.7
1140.0,10.0,51.1,-0.4652151125139384,20.0,3.0,2.6
1001.0,9.8,50.8,-0.4825621584931313,21.0,3.0,1.5
953.0,9.7,50.4,-0.5003803659044521,22.0,3.0,1.2
972.0,9.9,50.2,-0.4938046394316878,23.0,3.0,1.1
1021.0,9.4,53.4,-0.4620354595965587,0.0,3.0,1.5
940.0,8.6,57.8,-0.4326307761809338,1.0,3.0,1.0
1046.0,8.1,62.1,-0.3936353563545872,2.0,3.0,1.2
1026.0,7.9,63.5,-0.3890505668400698,3.0,3.0,1.1
915.0,8.2,58.9,-0.4394356276793177,5.0,3.0,0.8
935.0,6.3,66.6,-0.444725822061467,6.0,3.0,0.9
976.0,7.2,62.9,-0.4469122980223379,7.0,3.0,1.1
1124.0,7.2,63.9,-0.4307829160924542,8.0,3.0,1.5
1163.0,11.1,50.5,-0.4073669153977607,9.0,3.0,1.8
1167.0,15.5,36.1,-0.4599740936085572,10.0,3.0,2.1
1121.0,17.8,29.2,-0.5242486440981314,11.0,3.0,2.1
1071.0,17.6,30.1,-0.5086613009366141,12.0,3.0,1.9
1065.0,19.1,26.8,-0.5342648554997536,13.0,3.0,2.1
1157.0,17.7,28.6,-0.5559973424127117,14.0,3.0,2.5
1046.0,17.8,28.4,-0.5556486673743117,15.0,3.0,1.9
1147.0,18.7,26.0,-0.5878866699024524,16.0,3.0,2.2
1119.0,17.1,31.3,-0.5045122617093987,17.0,3.0,2.3
1210.0,15.8,36.1,-0.4400565528777834,18.0,3.0,2.7
1306.0,14.7,40.1,-0.4069161603754792,19.0,3.0,3.0
1258.0,13.6,44.9,-0.3579614854641975,20.0,3.0,2.8
1148.0,12.5,48.1,-0.3644191386721634,21.0,3.0,2.2
1108.0,11.8,50.8,-0.3506928722611848,22.0,3.0,1.6
1231.0,10.9,56.1,-0.311155428637423,23.0,3.0,2.1
1293.0,10.9,55.9,-0.3178664036290963,0.0,3.0,2.3
1274.0,10.3,58.1,-0.3177289938040776,1.0,3.0,2.3
1135.0,9.3,62.2,-0.3155330006075571,2.0,3.0,1.7
1151.0,8.2,66.7,-0.3180038323381698,3.0,3.0,2.2
