PT08.S1(CO),T,RH,log_AH,hour,month,Datetime
1350.0,13.2,41.7,-0.4588658848352796,10.0,3.0,2004-03-12 10:00:00
1263.0,14.3,38.4,-0.47112425691443865,11.0,3.0,2004-03-12 11:00:00
1206.0,15.0,36.5,-0.4788425779129398,12.0,3.0,2004-03-12 12:00:00
1252.0,16.1,34.5,-0.46808547008983176,13.0,3.0,2004-03-12 13:00:00
1287.0,16.3,35.7,-0.42159449003804794,14.0,3.0,2004-03-12 14:00:00
1353.0,15.8,37.0,-0.41400143913045073,15.0,3.0,2004-03-12 15:00:00
1309.0,15.9,37.2,-0.4069161603754792,16.0,3.0,2004-03-12 16:00:00
1274.0,16.9,34.3,-0.4232727267581291,17.0,3.0,2004-03-12 17:00:00
1510.0,15.1,39.6,-0.390675022635529,18.0,3.0,2004-03-12 18:00:00
1525.0,14.4,43.4,-0.3447463730734585,19.0,3.0,2004-03-12 19:00:00
1843.0,12.9,50.5,-0.29061971643912365,20.0,3.0,2004-03-12 20:00:00
1598.0,12.1,53.3,-0.2828935557199837,21.0,3.0,2004-03-12 21:00:00
1484.0,11.0,59.1,-0.2561834053924099,22.0,3.0,2004-03-12 22:00:00
1677.0,9.7,64.6,-0.2521862367669405,23.0,3.0,2004-03-12 23:00:00
1280.0,9.5,64.1,-0.2748316604729611,0.0,3.0,2004-03-13 00:00:00
1196.0,9.1,63.9,-0.2980018048586358,1.0,3.0,2004-03-13 01:00:00
1184.0,8.8,63.9,-0.32075638018121017,2.0,3.0,2004-03-13 02:00:00
1172.0,7.8,67.5,-0.33226111584974827,3.0,3.0,2004-03-13 03:00:00
978.0,8.3,63.6,-0.35924968431120136,5.0,3.0,2004-03-13 05:00:00
1100.0,7.2,67.5,-0.37294951643148455,6.0,3.0,2004-03-13 06:00:00
1112.0,6.3,71.9,-0.366436721140686,7.0,3.0,2004-03-13 07:00:00
1336.0,6.5,71.6,-0.36456311678773856,8.0,3.0,2004-03-13 08:00:00
1408.0,9.6,59.7,-0.33911572756663044,9.0,3.0,2004-03-13 09:00:00
1447.0,12.4,51.2,-0.3099276813991006,10.0,3.0,2004-03-13 10:00:00
1542.0,15.6,42.2,-0.29423684142245526,11.0,3.0,2004-03-13 11:00:00
1451.0,18.4,33.8,-0.3438997524500096,12.0,3.0,2004-03-13 12:00:00
1328.0,19.4,31.3,-0.363843433417345,13.0,3.0,2004-03-13 13:00:00
1207.0,18.0,34.8,-0.338694704474312,14.0,3.0,2004-03-13 14:00:00
1240.0,18.4,33.6,-0.35069287226118484,15.0,3.0,2004-03-13 15:00:00
1306.0,17.6,35.1,-0.35496212593505755,16.0,3.0,2004-03-13 16:00:00
1326.0,16.7,37.8,-0.3400988046769116,17.0,3.0,2004-03-13 17:00:00
1473.0,16.1,41.0,-0.29423684142245526,18.0,3.0,2004-03-13 18:00:00
1609.0,15.8,42.4,-0.27852413466701526,19.0,3.0,2004-03-13 19:00:00
1611.0,15.7,44.1,-0.25025784380578175,20.0,3.0,2004-03-13 20:00:00
1621.0,15.3,46.8,-0.21183276016834304,21.0,3.0,2004-03-13 21:00:00
1444.0,14.6,48.6,-0.2156715364755087,22.0,3.0,2004-03-13 22:00:00
1418.0,14.7,49.3,-0.199304961834368,23.0,3.0,2004-03-13 23:00:00
1534.0,13.9,53.6,-0.16275425130142587,0.0,3.0,2004-03-14 00:00:00
1484.0,14.6,51.5,-0.15829257899459342,1.0,3.0,2004-03-14 01:00:00
1367.0,12.5,58.9,-0.15817543496587633,2.0,3.0,2004-03-14 02:00:00
1344.0,11.6,63.4,-0.14225504758087126,3.0,3.0,2004-03-14 03:00:00
1062.0,11.5,63.1,-0.15864409343959796,5.0,3.0,2004-03-14 05:00:00
1076.0,11.6,62.2,-0.16570045577771858,6.0,3.0,2004-03-14 06:00:00
1028.0,10.4,67.6,-0.15899573149045795,7.0,3.0,2004-03-14 07:00:00
1155.0,11.6,62.7,-0.15899573149045795,8.0,3.0,2004-03-14 08:00:00
1235.0,12.4,60.0,-0.14768827289960393,9.0,3.0,2004-03-14 09:00:00
1332.0,14.5,53.1,-0.13604884446327598,10.0,3.0,2004-03-14 10:00:00
1445.0,16.9,46.1,-0.1290841534115375,11.0,3.0,2004-03-14 11:00:00
1416.0,19.3,38.3,-0.16558244078967815,12.0,3.0,2004-03-14 12:00:00
1281.0,21.2,31.4,-0.2469240799796132,13.0,3.0,2004-03-14 13:00:00
1207.0,21.4,30.2,-0.27233379550498144,14.0,3.0,2004-03-14 14:00:00
1258.0,21.9,29.0,-0.2843542823591063,15.0,3.0,2004-03-14 15:00:00
1458.0,22.2,28.4,-0.28555101144282674,16.0,3.0,2004-03-14 16:00:00
1438.0,21.3,30.8,-0.2618843796306404,17.0,3.0,2004-03-14 17:00:00
1478.0,19.7,36.7,-0.1854865601371112,18.0,3.0,2004-03-14 18:00:00
1808.0,18.4,41.7,-0.13559065430634826,19.0,3.0,2004-03-14 19:00:00
1898.0,17.6,46.1,-0.08229524272683016,20.0,3.0,2004-03-14 20:00:00
1560.0,16.7,49.6,-0.07042246429654582,21.0,3.0,2004-03-14 21:00:00
1324.0,16.3,51.0,-0.06817178010333398,22.0,3.0,2004-03-14 22:00:00
1349.0,14.7,55.9,-0.07106644843386022,23.0,3.0,2004-03-14 23:00:00
1239.0,14.8,54.7,-0.0873023284027966,0.0,3.0,2004-03-15 00:00:00
1239.0,14.0,57.0,-0.09497023759122689,1.0,3.0,2004-03-15 01:00:00
1224.0,13.4,61.3,-0.06603297060443801,2.0,3.0,2004-03-15 02:00:00
1078.0,12.6,63.5,-0.08012604447928486,3.0,3.0,2004-03-15 03:00:00
1075.0,11.9,67.4,-0.06453852113757118,5.0,3.0,2004-03-15 05:00:00
1157.0,11.4,70.5,-0.05392834202555563,6.0,3.0,2004-03-15 06:00:00
1314.0,11.3,70.2,-0.06176902639763181,7.0,3.0,2004-03-15 07:00:00
1797.0,12.4,63.9,-0.08664780672567216,8.0,3.0,2004-03-15 08:00:00
1961.0,14.8,54.3,-0.09695152607645043,9.0,3.0,2004-03-15 09:00:00
1771.0,17.4,45.6,-0.10613859606166728,10.0,3.0,2004-03-15 10:00:00
1564.0,19.8,38.5,-0.127719741602371,11.0,3.0,2004-03-15 11:00:00
1430.0,22.0,34.1,-0.11608447902080202,12.0,3.0,2004-03-15 12:00:00
1417.0,23.3,32.2,-0.0947503365458108,13.0,3.0,2004-03-15 13:00:00
1400.0,23.9,30.0,-0.13273171245395826,14.0,3.0,2004-03-15 14:00:00
1317.0,24.4,28.9,-0.1351326739914964,15.0,3.0,2004-03-15 15:00:00
1318.0,24.4,29.4,-0.12239364821406666,16.0,3.0,2004-03-15 16:00:00
1445.0,23.8,31.3,-0.0902529889775622,17.0,3.0,2004-03-15 17:00:00
1917.0,22.5,35.4,-0.04635812397814956,18.0,3.0,2004-03-15 18:00:00
2040.0,20.4,42.5,0.008563230660487814,19.0,3.0,2004-03-15 19:00:00
1895.0,18.3,52.6,0.09029763798078061,20.0,3.0,2004-03-15 20:00:00
1595.0,16.7,57.4,0.0756639039209896,21.0,3.0,2004-03-15 21:00:00
1439.0,15.7,60.2,0.06335031550076162,22.0,3.0,2004-03-15 22:00:00
1142.0,15.3,61.4,0.05638033343610769,23.0,3.0,2004-03-15 23:00:00
1304.0,14.1,65.7,0.04821857227047444,0.0,3.0,2004-03-16 00:00:00
1074.0,14.8,60.6,0.014691548742989682,1.0,3.0,2004-03-16 01:00:00
968.0,14.8,59.2,-0.012173800931708762,2.0,3.0,2004-03-16 02:00:00
929.0,13.6,62.1,-0.03707900824142074,3.0,3.0,2004-03-16 03:00:00
937.0,12.8,63.2,-0.07440032257625016,5.0,3.0,2004-03-16 05:00:00
1017.0,11.2,68.5,-0.09640077428635438,6.0,3.0,2004-03-16 06:00:00
1171.0,11.0,66.5,-0.13868751977389326,7.0,3.0,2004-03-16 07:00:00
1541.0,11.7,63.7,-0.13708054054836769,8.0,3.0,2004-03-16 08:00:00
1539.0,13.6,56.3,-0.1343317127952918,9.0,3.0,2004-03-16 09:00:00
1735.0,17.8,42.9,-0.14248564829675534,10.0,3.0,2004-03-16 10:00:00
1571.0,21.4,33.3,-0.17233162276460665,11.0,3.0,2004-03-16 11:00:00
1452.0,24.4,27.4,-0.1946775790035387,12.0,3.0,2004-03-16 12:00:00
1579.0,25.3,26.1,-0.19067636117670822,13.0,3.0,2004-03-16 13:00:00
1466.0,25.8,23.2,-0.2758852625722699,14.0,3.0,2004-03-16 14:00:00
1280.0,27.0,20.2,-0.3433357366426156,15.0,3.0,2004-03-16 15:00:00
1407.0,28.2,18.6,-0.3546769412760593,16.0,3.0,2004-03-16 16:00:00
1389.0,28.0,19.1,-0.342772038769741,17.0,3.0,2004-03-16 17:00:00
1447.0,23.9,25.7,-0.2851519425981558,18.0,3.0,2004-03-16 18:00:00
1551.0,21.3,34.8,-0.13581972314253485,19.0,3.0,2004-03-16 19:00:00
1474.0,20.4,36.7,-0.13880240288045892,20.0,3.0,2004-03-16 20:00:00
1800.0,19.0,41.3,-0.10458304019243997,21.0,3.0,2004-03-16 21:00:00
1379.0,17.9,45.9,-0.06806473091412937,22.0,3.0,2004-03-16 22:00:00
1201.0,16.7,48.9,-0.08055950785841692,23.0,3.0,2004-03-16 23:00:00
1205.0,15.5,52.9,-0.07569384436920029,0.0,3.0,2004-03-17 00:00:00
1072.0,15.5,51.9,-0.0988263543068949,1.0,3.0,2004-03-17 01:00:00
998.0,14.1,55.6,-0.11541085151132773,2.0,3.0,2004-03-17 02:00:00
933.0,13.1,57.9,-0.14317776967632798,3.0,3.0,2004-03-17 03:00:00
869.0,11.8,58.0,-0.21989882114932072,5.0,3.0,2004-03-17 05:00:00
891.0,11.9,57.4,-0.22589733951083085,6.0,3.0,2004-03-17 06:00:00
1173.0,9.9,65.2,-0.22865873200231995,7.0,3.0,2004-03-17 07:00:00
1587.0,11.1,60.2,-0.22840738098930885,8.0,3.0,2004-03-17 08:00:00
1852.0,14.1,50.0,-0.2206466711156225,9.0,3.0,2004-03-17 09:00:00
1522.0,17.7,40.1,-0.21716147963666235,10.0,3.0,2004-03-17 10:00:00
1438.0,21.1,33.4,-0.19055536172105816,11.0,3.0,2004-03-17 11:00:00
1393.0,24.3,28.3,-0.16593652754463184,12.0,3.0,2004-03-17 12:00:00
1452.0,25.6,25.6,-0.19188716166365558,13.0,3.0,2004-03-17 13:00:00
1389.0,25.9,25.9,-0.1621660505903903,14.0,3.0,2004-03-17 14:00:00
1207.0,26.8,18.7,-0.4307829160924542,15.0,3.0,2004-03-17 15:00:00
1365.0,29.3,15.8,-0.46060790760537323,16.0,3.0,2004-03-17 16:00:00
1247.0,28.5,14.9,-0.5607163933794558,17.0,3.0,2004-03-17 17:00:00
1557.0,25.9,16.0,-0.6468362776966949,18.0,3.0,2004-03-17 18:00:00
1973.0,23.1,26.5,-0.30069976953308447,19.0,3.0,2004-03-17 19:00:00
1975.0,20.5,38.2,-0.09069086528450379,20.0,3.0,2004-03-17 20:00:00
1795.0,19.1,42.6,-0.0732160623312591,21.0,3.0,2004-03-17 21:00:00
1444.0,17.2,44.1,-0.15571857499942057,22.0,3.0,2004-03-17 22:00:00
1488.0,16.0,50.9,-0.08272964759899602,23.0,3.0,2004-03-17 23:00:00
1371.0,14.8,53.9,-0.10269739823834262,0.0,3.0,2004-03-18 00:00:00
1161.0,14.3,55.4,-0.10814215861970315,1.0,3.0,2004-03-18 01:00:00
1064.0,14.8,52.1,-0.1408725588814155,2.0,3.0,2004-03-18 02:00:00
970.0,13.9,53.9,-0.16240128935882392,3.0,3.0,2004-03-18 03:00:00
931.0,12.0,58.9,-0.19443462467775668,5.0,3.0,2004-03-18 05:00:00
938.0,10.9,62.1,-0.2091173795811177,6.0,3.0,2004-03-18 06:00:00
1166.0,10.6,63.3,-0.2148034270392084,7.0,3.0,2004-03-18 07:00:00
1643.0,11.5,60.0,-0.20862446521500708,8.0,3.0,2004-03-18 08:00:00
1934.0,14.3,50.6,-0.20015971492383444,9.0,3.0,2004-03-18 09:00:00
1617.0,17.8,40.5,-0.1972321695297089,10.0,3.0,2004-03-18 10:00:00
1473.0,20.8,34.4,-0.17852875855525838,11.0,3.0,2004-03-18 11:00:00
1379.0,23.8,28.2,-0.19613654582768278,12.0,3.0,2004-03-18 12:00:00
1385.0,24.2,28.7,-0.16075577887939405,13.0,3.0,2004-03-18 13:00:00
1379.0,25.2,24.9,-0.2447503050682685,14.0,3.0,2004-03-18 14:00:00
1322.0,27.0,17.8,-0.46601160797619817,15.0,3.0,2004-03-18 15:00:00
1496.0,27.1,23.1,-0.20089294237939007,16.0,3.0,2004-03-18 16:00:00
1409.0,25.8,23.9,-0.2443671877658364,17.0,3.0,2004-03-18 17:00:00
1513.0,23.0,26.8,-0.2949081175435205,18.0,3.0,2004-03-18 18:00:00
1667.0,20.7,31.1,-0.2846200984159612,19.0,3.0,2004-03-18 19:00:00
1667.0,18.6,36.2,-0.26448651484859226,20.0,3.0,2004-03-18 20:00:00
1430.0,16.0,48.4,-0.13147636278838593,21.0,3.0,2004-03-18 21:00:00
1333.0,14.5,57.8,-0.055935632330303305,22.0,3.0,2004-03-18 22:00:00
1262.0,13.1,64.2,-0.04019718975141304,23.0,3.0,2004-03-18 23:00:00
1287.0,12.0,69.7,-0.026857454169882642,0.0,3.0,2004-03-19 00:00:00
1134.0,11.9,71.1,-0.008536331022286335,1.0,3.0,2004-03-19 01:00:00
999.0,12.5,69.3,0.002895803112025468,2.0,3.0,2004-03-19 02:00:00
961.0,12.5,67.5,-0.023473356185642127,3.0,3.0,2004-03-19 03:00:00
913.0,12.5,66.8,-0.038740828316430595,5.0,3.0,2004-03-19 05:00:00
969.0,12.3,66.3,-0.05266265258330592,6.0,3.0,2004-03-19 06:00:00
1182.0,12.4,64.9,-0.06913573883486211,7.0,3.0,2004-03-19 07:00:00
1740.0,13.0,61.6,-0.08240382625481565,8.0,3.0,2004-03-19 08:00:00
1819.0,13.6,58.8,-0.09211528890780563,9.0,3.0,2004-03-19 09:00:00
1427.0,13.9,57.1,-0.10181126614668479,10.0,3.0,2004-03-19 10:00:00
1390.0,14.5,54.4,-0.11462552584130324,11.0,3.0,2004-03-19 11:00:00
1283.0,15.5,50.1,-0.1342173421198083,12.0,3.0,2004-03-19 12:00:00
1304.0,16.1,47.6,-0.14444790436587304,13.0,3.0,2004-03-19 13:00:00
1364.0,16.3,47.1,-0.14618251017808145,14.0,3.0,2004-03-19 14:00:00
1410.0,16.4,47.5,-0.12885662212500415,15.0,3.0,2004-03-19 15:00:00
1476.0,16.1,50.2,-0.09497023759122689,16.0,3.0,2004-03-19 16:00:00
1522.0,16.0,50.7,-0.08970591308449305,17.0,3.0,2004-03-19 17:00:00
1442.0,15.8,50.3,-0.10658348540278341,18.0,3.0,2004-03-19 18:00:00
1469.0,15.5,50.6,-0.1232982163444936,19.0,3.0,2004-03-19 19:00:00
1467.0,15.4,51.4,-0.11026139425753734,20.0,3.0,2004-03-19 20:00:00
1421.0,15.2,53.1,-0.09244429039128002,21.0,3.0,2004-03-19 21:00:00
1175.0,14.7,57.6,-0.04363845702982949,22.0,3.0,2004-03-19 22:00:00
1215.0,14.2,58.3,-0.06400532997591243,23.0,3.0,2004-03-19 23:00:00
1127.0,13.8,57.9,-0.0959603911459112,0.0,3.0,2004-03-20 00:00:00
1090.0,13.9,55.9,-0.12307199758999424,1.0,3.0,2004-03-20 01:00:00
1017.0,13.9,55.6,-0.13181857462084792,2.0,3.0,2004-03-20 02:00:00
997.0,13.8,55.1,-0.14317776967632798,3.0,3.0,2004-03-20 03:00:00
956.0,13.6,55.1,-0.15548490284039498,5.0,3.0,2004-03-20 05:00:00
966.0,13.6,59.0,-0.09112893341110193,6.0,3.0,2004-03-20 06:00:00
1064.0,13.5,58.4,-0.10981486600720657,7.0,3.0,2004-03-20 07:00:00
1300.0,13.8,58.0,-0.09618055847396918,8.0,3.0,2004-03-20 08:00:00
1348.0,14.6,53.1,-0.13181857462084792,9.0,3.0,2004-03-20 09:00:00
1425.0,15.0,52.3,-0.11867092971767863,10.0,3.0,2004-03-20 10:00:00
1474.0,15.4,52.1,-0.10026242193839431,11.0,3.0,2004-03-20 11:00:00
1490.0,16.3,50.0,-0.08795727875914203,12.0,3.0,2004-03-20 12:00:00
1495.0,17.1,47.9,-0.07461579338078989,13.0,3.0,2004-03-20 13:00:00
1376.0,19.0,42.9,-0.0650719967437148,14.0,3.0,2004-03-20 14:00:00
1305.0,19.5,42.3,-0.05382280669750666,15.0,3.0,2004-03-20 15:00:00
1283.0,19.5,42.3,-0.05203040809438421,16.0,3.0,2004-03-20 16:00:00
1392.0,19.1,43.8,-0.045415863530482575,17.0,3.0,2004-03-20 17:00:00
1452.0,18.5,46.3,-0.02593338202650443,18.0,3.0,2004-03-20 18:00:00
1633.0,17.4,51.6,0.01577491911536224,19.0,3.0,2004-03-20 19:00:00
1625.0,17.1,51.3,-0.008637193395663588,20.0,3.0,2004-03-20 20:00:00
1535.0,16.4,53.8,-0.003606495594111744,21.0,3.0,2004-03-20 21:00:00
1323.0,16.2,55.4,0.013113639145383204,22.0,3.0,2004-03-20 22:00:00
1309.0,15.9,57.7,0.034980968895245594,23.0,3.0,2004-03-20 23:00:00
1456.0,15.7,58.6,0.038836023785198216,0.0,3.0,2004-03-21 00:00:00
1300.0,15.1,60.9,0.0390283869674784,1.0,3.0,2004-03-21 01:00:00
1203.0,15.6,56.6,-0.004912044361020641,2.0,3.0,2004-03-21 02:00:00
1195.0,15.2,57.9,-0.005917473764037623,3.0,3.0,2004-03-21 03:00:00
1062.0,14.9,60.6,0.019410393519823387,5.0,3.0,2004-03-21 05:00:00
947.0,14.5,63.0,0.03111099502505273,6.0,3.0,2004-03-21 06:00:00
1065.0,14.2,66.2,0.06109509935981083,7.0,3.0,2004-03-21 07:00:00
1155.0,14.5,65.3,0.06803241039182698,8.0,3.0,2004-03-21 08:00:00
1220.0,15.3,62.1,0.07045846364856137,9.0,3.0,2004-03-21 09:00:00
1301.0,16.3,59.0,0.08323759857005561,10.0,3.0,2004-03-21 10:00:00
1279.0,18.9,49.6,0.06765864847381486,11.0,3.0,2004-03-21 11:00:00
1267.0,19.4,46.1,0.024595046855380134,12.0,3.0,2004-03-21 12:00:00
1239.0,20.8,41.6,0.009058844488346146,13.0,3.0,2004-03-21 13:00:00
1128.0,21.4,40.3,0.012521280553671691,14.0,3.0,2004-03-21 14:00:00
1243.0,21.2,39.3,-0.021121496622111418,15.0,3.0,2004-03-21 15:00:00
1208.0,20.3,38.0,-0.1118258151822568,16.0,3.0,2004-03-21 16:00:00
1306.0,19.4,41.3,-0.08272964759899602,17.0,3.0,2004-03-21 17:00:00
1546.0,18.5,43.8,-0.07774534862485291,18.0,3.0,2004-03-21 18:00:00
1501.0,17.8,48.1,-0.03159387159117863,19.0,3.0,2004-03-21 19:00:00
1605.0,17.9,46.9,-0.04919024419077178,20.0,3.0,2004-03-21 20:00:00
1316.0,17.4,49.1,-0.03169708674325456,21.0,3.0,2004-03-21 21:00:00
1195.0,17.0,51.7,-0.008637193395663588,22.0,3.0,2004-03-21 22:00:00
1211.0,16.4,55.1,0.01960652963891835,23.0,3.0,2004-03-21 23:00:00
1161.0,16.1,60.0,0.08791929803788359,0.0,3.0,2004-03-22 00:00:00
1095.0,15.8,60.5,0.07742389696480363,1.0,3.0,2004-03-22 01:00:00
897.0,16.3,57.0,0.04793265375530272,2.0,3.0,2004-03-22 02:00:00
842.0,16.9,53.9,0.030432207120201914,3.0,3.0,2004-03-22 03:00:00
845.0,16.5,53.9,0.004888034072775866,5.0,3.0,2004-03-22 05:00:00
942.0,16.4,54.0,-0.0021022080918701985,6.0,3.0,2004-03-22 06:00:00
1090.0,15.7,57.6,0.019312311032372884,7.0,3.0,2004-03-22 07:00:00
1514.0,15.8,53.7,-0.043847399780276325,8.0,3.0,2004-03-22 08:00:00
1379.0,17.4,42.1,-0.18862135894248272,9.0,3.0,2004-03-22 09:00:00
1074.0,17.9,38.4,-0.2493591981326218,10.0,3.0,2004-03-22 10:00:00
1090.0,18.5,36.7,-0.2530874276872819,11.0,3.0,2004-03-22 11:00:00
1110.0,21.0,29.6,-0.31979212637001464,12.0,3.0,2004-03-22 12:00:00
1102.0,21.3,28.1,-0.3471490312853284,13.0,3.0,2004-03-22 13:00:00
1100.0,21.3,26.1,-0.42480084441490673,14.0,3.0,2004-03-22 14:00:00
1094.0,21.3,26.8,-0.40331741605070537,15.0,3.0,2004-03-22 15:00:00
1076.0,21.3,24.2,-0.5008752929128226,16.0,3.0,2004-03-22 16:00:00
1152.0,20.2,28.5,-0.4031677490594809,17.0,3.0,2004-03-22 17:00:00
1407.0,17.0,43.1,-0.19067636117670822,18.0,3.0,2004-03-22 18:00:00
1438.0,15.6,47.4,-0.18068290012544608,19.0,3.0,2004-03-22 19:00:00
1425.0,15.3,47.4,-0.20113747105159516,20.0,3.0,2004-03-22 20:00:00
1279.0,14.5,49.7,-0.2012597578142055,21.0,3.0,2004-03-22 21:00:00
1132.0,13.9,52.0,-0.1946775790035387,22.0,3.0,2004-03-22 22:00:00
1006.0,14.5,49.4,-0.2099805647879289,23.0,3.0,2004-03-22 23:00:00
982.0,13.8,51.4,-0.21430770265181034,0.0,3.0,2004-03-23 00:00:00
969.0,14.0,51.3,-0.2029733445248267,1.0,3.0,2004-03-23 01:00:00
941.0,13.0,56.8,-0.16912896300797145,2.0,3.0,2004-03-23 02:00:00
892.0,11.0,70.0,-0.08175250187225909,3.0,3.0,2004-03-23 03:00:00
834.0,8.8,80.5,-0.08915913631981831,5.0,3.0,2004-03-23 05:00:00
909.0,9.6,75.4,-0.10491616994955989,6.0,3.0,2004-03-23 06:00:00
1061.0,9.8,75.0,-0.0950802062502699,7.0,3.0,2004-03-23 07:00:00
1441.0,10.0,74.2,-0.09244429039128002,8.0,3.0,2004-03-23 08:00:00
1498.0,11.2,69.7,-0.07990938322830192,9.0,3.0,2004-03-23 09:00:00
1343.0,12.0,62.9,-0.12749252051527665,10.0,3.0,2004-03-23 10:00:00
1308.0,12.8,55.8,-0.1972321695297089,11.0,3.0,2004-03-23 11:00:00
1209.0,13.1,54.8,-0.19431316964633272,12.0,3.0,2004-03-23 12:00:00
1310.0,13.8,53.4,-0.18020380082295337,13.0,3.0,2004-03-23 13:00:00
1171.0,16.0,42.4,-0.26474710116928507,14.0,3.0,2004-03-23 14:00:00
1112.0,14.1,49.8,-0.2267751375482595,15.0,3.0,2004-03-23 15:00:00
1132.0,12.0,61.1,-0.15817543496587633,16.0,3.0,2004-03-23 16:00:00
1225.0,13.6,54.6,-0.16664507740894702,17.0,3.0,2004-03-23 17:00:00
1065.0,13.7,49.5,-0.2620143257032032,18.0,3.0,2004-03-23 18:00:00
1236.0,11.7,57.1,-0.2456448166607233,19.0,3.0,2004-03-23 19:00:00
1309.0,11.5,58.2,-0.2399082976469403,20.0,3.0,2004-03-23 20:00:00
1089.0,12.6,54.2,-0.23813029362253316,21.0,3.0,2004-03-23 21:00:00
1000.0,12.0,54.9,-0.2660510523254863,22.0,3.0,2004-03-23 22:00:00
1041.0,11.0,61.4,-0.21604381419898683,23.0,3.0,2004-03-23 23:00:00
1045.0,11.1,62.2,-0.19857289738000508,0.0,3.0,2004-03-24 00:00:00
997.0,10.8,62.5,-0.2129457263377637,1.0,3.0,2004-03-24 01:00:00
948.0,11.3,60.0,-0.22002342397796612,2.0,3.0,2004-03-24 02:00:00
878.0,10.6,61.6,-0.24130752194188096,3.0,3.0,2004-03-24 03:00:00
892.0,10.9,58.6,-0.270759405255873,5.0,3.0,2004-03-24 05:00:00
954.0,10.8,57.2,-0.3035404883862389,6.0,3.0,2004-03-24 06:00:00
1045.0,10.4,59.2,-0.29370014477734385,7.0,3.0,2004-03-24 07:00:00
1383.0,11.0,57.3,-0.28754874800654645,8.0,3.0,2004-03-24 08:00:00
1597.0,11.2,56.9,-0.2790527457537265,9.0,3.0,2004-03-24 09:00:00
1318.0,12.1,54.9,-0.2569588998089404,10.0,3.0,2004-03-24 10:00:00
1138.0,15.1,44.3,-0.28302626091558697,11.0,3.0,2004-03-24 11:00:00
1098.0,15.6,40.6,-0.3360323333928276,12.0,3.0,2004-03-24 12:00:00
1118.0,16.9,34.6,-0.4159700927533119,13.0,3.0,2004-03-24 13:00:00
1170.0,16.6,35.6,-0.4009254280661326,14.0,3.0,2004-03-24 14:00:00
